food_portion_modifier,food_portion_gram_weight,food_portion_desription,food_portion_measure_unit_name,food_portion_measure_unit_abbreviation,active,ingredient_id
,246,1 cup,,,1,7
,30.8,1 fl oz,,,1,7
,0,Quantity not specified,,,1,7
,244,1 cup,,,1,8
,30.5,1 fl oz,,,1,8
,61,Guideline amount per cup of hot cereal,,,1,8
,2.5,Guideline amount per fl oz of beverage,,,1,8
,244,1 individual school container,,,1,8
,244,Quantity not specified,,,1,8
,244,1 cup,,,1,9
,30.5,1 fl oz,,,1,9
,2.5,Guideline amount per fl oz of beverage,,,1,9
,61,Guideline amount per cup of hot cereal,,,1,9
,244,1 individual school container,,,1,9
,244,Quantity not specified,,,1,9
,30.5,1 fl oz,,,1,10
,2.5,Guideline amount per fl oz of beverage,,,1,10
,61,Guideline amount per cup of hot cereal,,,1,10
,244,Quantity not specified,,,1,10
,244,1 cup,,,1,10
,244,1 cup,,,1,11
,30.5,1 fl oz,,,1,11
,2.5,Guideline amount per fl oz of beverage,,,1,11
,61,Guideline amount per cup of hot cereal,,,1,11
,244,Quantity not specified,,,1,11
,244,1 cup,,,1,12
,30.5,1 fl oz,,,1,12
,2.5,Guideline amount per fl oz of beverage,,,1,12
,61,Guideline amount per cup of hot cereal,,,1,12
,244,Quantity not specified,,,1,12
,244,1 cup,,,1,13
,30.5,1 fl oz,,,1,13
,2.5,Guideline amount per fl oz of beverage,,,1,13
,61,Guideline amount per cup of hot cereal,,,1,13
,244,Quantity not specified,,,1,13
,244,1 cup,,,1,14
,30.5,1 fl oz,,,1,14
,2.5,Guideline amount per fl oz of beverage,,,1,14
,61,Guideline amount per cup of hot cereal,,,1,14
,244,1 individual school container,,,1,14
,244,Quantity not specified,,,1,14
,244,1 cup,,,1,15
,30.5,1 fl oz,,,1,15
,2.5,Guideline amount per fl oz of beverage,,,1,15
,61,Guideline amount per cup of hot cereal,,,1,15
,244,Quantity not specified,,,1,15
,244,1 cup,,,1,16
,30.5,1 fl oz,,,1,16
,2.5,Guideline amount per fl oz of beverage,,,1,16
,61,Guideline amount per cup of hot cereal,,,1,16
,244,Quantity not specified,,,1,16
,244,1 cup,,,1,17
,30.5,1 fl oz,,,1,17
,61,Guideline amount per cup of hot cereal,,,1,17
,2.5,Guideline amount per fl oz of beverage,,,1,17
,244,1 individual school container,,,1,17
,244,Quantity not specified,,,1,17
,244,1 cup,,,1,18
,30.5,1 fl oz,,,1,18
,2.5,Guideline amount per fl oz of beverage,,,1,18
,61,Guideline amount per cup of hot cereal,,,1,18
,244,1 individual school container,,,1,18
,244,Quantity not specified,,,1,18
,30.5,1 fl oz,,,1,19
,244,1 cup,,,1,19
,2.5,Guideline amount per fl oz of beverage,,,1,19
,61,Guideline amount per cup of hot cereal,,,1,19
,244,Quantity not specified,,,1,19
,30.5,1 fl oz,,,1,20
,2.5,Guideline amount per fl oz of beverage,,,1,20
,61,Guideline amount per cup of hot cereal,,,1,20
,244,Quantity not specified,,,1,20
,244,1 cup,,,1,20
,244,1 cup,,,1,21
,30.5,1 fl oz,,,1,21
,2.5,Guideline amount per fl oz of beverage,,,1,21
,61,Guideline amount per cup of hot cereal,,,1,21
,244,Quantity not specified,,,1,21
,244,1 cup,,,1,22
,30.5,1 fl oz,,,1,22
,2.5,Guideline amount per fl oz of beverage,,,1,22
,61,Guideline amount per cup of hot cereal,,,1,22
,244,Quantity not specified,,,1,22
,30.5,1 fl oz,,,1,23
,2.6,Guideline amount per fl oz of beverage,,,1,23
,61,Guideline amount per cup of hot cereal,,,1,23
,244,Quantity not specified,,,1,23
,244,1 cup,,,1,23
,244,1 cup,,,1,24
,30.5,1 fl oz,,,1,24
,2.6,Guideline amount per fl oz of beverage,,,1,24
,61,Guideline amount per cup of hot cereal,,,1,24
,244,Quantity not specified,,,1,24
,244,1 cup,,,1,25
,30.5,1 fl oz,,,1,25
,2.6,Guideline amount per fl oz of beverage,,,1,25
,244,Quantity not specified,,,1,25
,61,Guideline amount per cup of hot cereal,,,1,25
,244,1 cup,,,1,26
,30.5,1 fl oz,,,1,26
,2.6,Guideline amount per fl oz of beverage,,,1,26
,61,Guideline amount per cup of hot cereal,,,1,26
,244,Quantity not specified,,,1,26
,244,1 cup,,,1,27
,30.5,1 fl oz,,,1,27
,244,Quantity not specified,,,1,27
,244,1 cup,,,1,28
,30.5,1 fl oz,,,1,28
,2.5,Guideline amount per fl oz of beverage,,,1,28
,61,Guideline amount per cup of hot cereal,,,1,28
,244,Quantity not specified,,,1,28
,244,1 cup,,,1,29
,30.5,1 fl oz,,,1,29
,2.5,Guideline amount per fl oz of beverage,,,1,29
,61,Guideline amount per cup of hot cereal,,,1,29
,244,Quantity not specified,,,1,29
,244,1 cup,,,1,30
,30.5,1 fl oz,,,1,30
,2.5,Guideline amount per fl oz of beverage,,,1,30
,61,Guideline amount per cup of hot cereal,,,1,30
,244,Quantity not specified,,,1,30
,244,1 cup,,,1,31
,30.5,1 fl oz,,,1,31
,2.5,Guideline amount per fl oz of beverage,,,1,31
,61,Guideline amount per cup of hot cereal,,,1,31
,244,Quantity not specified,,,1,31
,244,1 cup,,,1,32
,30.5,1 fl oz,,,1,32
,61,Guideline amount per cup of hot cereal,,,1,32
,244,Quantity not specified,,,1,32
,2.5,Guideline amount per fl oz of beverage,,,1,32
,252,1 cup,,,1,33
,31.5,1 fl oz,,,1,33
,2.6,Guideline amount per fl oz of beverage,,,1,33
,16,Quantity not specified,,,1,33
,16,"Quantity not specified, if in beverage",,,1,33
,126,"Quantity not specified, as a drink or on cereal",,,1,33
,252,1 cup,,,1,34
,2.6,Guideline amount per fl oz of beverage,,,1,34
,16,Quantity not specified,,,1,34
,16,"Quantity not specified, if in beverage",,,1,34
,126,"Quantity not specified, as a drink or on cereal",,,1,34
,31.5,1 fl oz,,,1,34
,252,1 cup,,,1,35
,31.5,1 fl oz,,,1,35
,16,Quantity not specified,,,1,35
